epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,556.358,0.45058,0.29773,0.91601,0.93855,0.96478,0.97617,0.88371,0.49869,0.30531,0.92693,0.000212349,0.000212349,0.000212349
88,562.681,0.45717,0.2908,0.94301,0.94499,0.96363,0.97686,0.89011,0.4885,0.29229,0.91936,0.000198202,0.000198202,0.000198202
89,569.094,0.45194,0.30367,0.91588,0.95887,0.92932,0.97362,0.886,0.4807,0.33941,0.91951,0.000184055,0.000184055,0.000184055
90,575.427,0.4577,0.34169,0.93131,0.9483,0.93505,0.97281,0.88781,0.47937,0.34632,0.91856,0.000169908,0.000169908,0.000169908
91,582.233,0.39672,0.27094,0.88865,0.94719,0.93692,0.97277,0.88475,0.48481,0.33726,0.91637,0.000155761,0.000155761,0.000155761
92,588.561,0.36811,0.25035,0.87042,0.94122,0.94896,0.97112,0.88001,0.48307,0.36394,0.91694,0.000141614,0.000141614,0.000141614
93,594.881,0.3763,0.27901,0.88051,0.95047,0.93665,0.97289,0.88271,0.47764,0.32278,0.9125,0.000127467,0.000127467,0.000127467
94,601.198,0.37147,0.2464,0.86963,0.94397,0.94464,0.97188,0.88453,0.47552,0.32172,0.912,0.00011332,0.00011332,0.00011332
95,607.502,0.36914,0.24993,0.8772,0.93524,0.94464,0.97118,0.88286,0.47911,0.33604,0.91394,9.91726e-05,9.91726e-05,9.91726e-05
96,613.817,0.36086,0.25294,0.85303,0.94551,0.93602,0.97119,0.88635,0.48481,0.32443,0.91507,8.50255e-05,8.50255e-05,8.50255e-05
97,620.133,0.37483,0.24374,0.87897,0.92808,0.95887,0.97046,0.88773,0.48485,0.32981,0.91496,7.08784e-05,7.08784e-05,7.08784e-05
98,626.555,0.3548,0.24708,0.86297,0.94805,0.92966,0.96832,0.88523,0.47487,0.37463,0.91581,5.67313e-05,5.67313e-05,5.67313e-05
99,632.865,0.36384,0.24056,0.87727,0.94473,0.92481,0.96886,0.88725,0.46885,0.37627,0.91463,4.25842e-05,4.25842e-05,4.25842e-05
100,639.193,0.35066,0.22925,0.86638,0.94695,0.92442,0.97214,0.88731,0.46997,0.3521,0.91431,2.84371e-05,2.84371e-05,2.84371e-05
